Steps,LER
1,0.000760107925257732
10,0.0007399726159793814
20,0.0007701755798969072
30,0.0008758859536082475
40,0.0008909874355670103
50,0.0008205138530927835
60,0.0008960212628865979
70,0.0009010550902061856
80,0.0009765625
90,0.0009010550902061856
100,0.0009564271907216494
110,0.0009664948453608248
120,0.0009513933634020618
130,0.001072205219072165
140,0.001016833118556701
150,0.0010923405283505155
160,0.0010117992912371135
170,0.0010067654639175257
180,0.0010420022551546392
190,0.0009413257087628866
200,0.0010873067010309279
