Steps,LER,BER,Throughput
1,0.0008313301282051282,0.00013625968215811966,9038.911023121862
10,0.0036207932692307694,0.0007580879407051282,1068.124007977973
20,0.0045673076923076926,0.001039371327457265,540.3315819960034
30,0.005183293269230769,0.001206722422542735,363.14647638934775
40,0.005483774038461538,0.0012739132612179487,271.9720060616487
50,0.005694110576923077,0.001352580795940171,217.3755427574661
60,0.005774238782051282,0.0013961922409188034,181.52110230693833
70,0.005553886217948718,0.0013256627270299146,154.87207173598287
80,0.0059244791666666664,0.0014372996794871796,135.91598900372148
90,0.00582431891025641,0.0014266576522435897,120.72611002029772
100,0.0057692307692307696,0.0013619708199786324,108.78485895656281
200,0.006169871794871795,0.0015055338541666667,54.68624920594663
